Country,Year,Attack Type,Target Industry,Financial Loss (in Million $),Number of Affected Users,Attack Source,Security Vulnerability Type,Defense Mechanism Used,Incident Resolution Time (in Hours)
Usa,2021,Ddos,Telecommunications,1.98,863623.0,Hacker Group,Zero-Day,Firewall,24.0
Usa,2018,Malware,Healthcare,14.28,755771.0,Insider,Zero-Day,Antivirus,44.0
Japan,2021,Sql Injection,Telecommunications,66.23,164032.0,Unknown,Social Engineering,Firewall,5.0
Russia,2022,Man-In-The-Middle,Telecommunications,95.66,259993.0,Nation-State,Weak Passwords,Antivirus,58.0
Uk,2019,Phishing,Retail,90.13,232359.0,Unknown,Social Engineering,Firewall,17.0
Germany,2018,Phishing,Telecommunications,84.9,800031.0,Unknown,Unpatched Software,Encryption,10.0
Uk,2016,Phishing,Healthcare,71.19,925040.0,Unknown,Unpatched Software,Encryption,48.0
Brazil,2016,Malware,It,99.29,273469.0,Insider,Social Engineering,Antivirus,67.0
Germany,2024,Malware,Banking,22.84,797768.0,Insider,Zero-Day,Firewall,58.0
Japan,2022,Ddos,Education,82.19,905203.0,Hacker Group,Weak Passwords,Antivirus,37.0
India,2023,Phishing,Telecommunications,11.72,512291.0,Insider,Zero-Day,Ai-Based Detection,51.0
Uk,2022,Phishing,Telecommunications,27.08,416833.0,Insider,Social Engineering,Vpn,9.0
Uk,2015,Ransomware,Government,30.74,744505.0,Nation-State,Unpatched Software,Antivirus,43.0
Brazil,2020,Malware,Banking,79.61,755029.0,Nation-State,Weak Passwords,Firewall,27.0
Brazil,2017,Malware,Banking,99.22,660182.0,Insider,Weak Passwords,Ai-Based Detection,21.0
India,2016,Ransomware,Retail,29.48,403737.0,Insider,Zero-Day,Firewall,26.0
China,2019,Ddos,Retail,7.87,86783.0,Nation-State,Weak Passwords,Antivirus,12.0
Australia,2022,Ddos,Telecommunications,86.77,390083.0,Nation-State,Social Engineering,Vpn,72.0
Brazil,2023,Man-In-The-Middle,Banking,20.15,376174.0,Unknown,Social Engineering,Firewall,43.0
Uk,2022,Ransomware,Government,31.94,485080.0,Insider,Weak Passwords,Antivirus,61.0
France,2024,Ransomware,Banking,78.82,759804.0,Unknown,Unpatched Software,Ai-Based Detection,47.0
Japan,2017,Phishing,It,65.62,286208.0,Hacker Group,Zero-Day,Firewall,57.0
Usa,2017,Malware,It,75.53,992377.0,Nation-State,Unpatched Software,Antivirus,33.0
Usa,2021,Man-In-The-Middle,Education,36.06,48987.0,Unknown,Zero-Day,Vpn,58.0
Russia,2021,Sql Injection,Telecommunications,68.07,538602.0,Insider,Unpatched Software,Vpn,19.0
Japan,2015,Malware,Healthcare,26.29,808392.0,Hacker Group,Weak Passwords,Ai-Based Detection,4.0
Uk,2015,Ransomware,It,26.12,21580.0,Unknown,Weak Passwords,Ai-Based Detection,14.0
France,2020,Phishing,Government,94.44,209658.0,Insider,Zero-Day,Vpn,11.0
Japan,2017,Man-In-The-Middle,Retail,74.12,559889.0,Nation-State,Zero-Day,Vpn,10.0
Uk,2015,Sql Injection,Government,12.92,344516.0,Insider,Zero-Day,Vpn,28.0
Australia,2024,Phishing,Retail,73.43,897569.0,Hacker Group,Social Engineering,Ai-Based Detection,66.0
Australia,2023,Sql Injection,Healthcare,99.19,538688.0,Nation-State,Zero-Day,Encryption,36.0
China,2015,Ddos,Government,22.71,303975.0,Nation-State,Social Engineering,Firewall,2.0
Japan,2022,Sql Injection,Telecommunications,67.62,822256.0,Insider,Unpatched Software,Firewall,60.0
Russia,2019,Man-In-The-Middle,Healthcare,53.82,521877.0,Unknown,Zero-Day,Encryption,66.0
Brazil,2016,Sql Injection,Education,55.83,758258.0,Unknown,Zero-Day,Encryption,36.0
Brazil,2016,Ddos,It,17.12,988369.0,Hacker Group,Weak Passwords,Ai-Based Detection,26.0
France,2022,Malware,Healthcare,67.89,325521.0,Hacker Group,Social Engineering,Vpn,69.0
Germany,2021,Ransomware,It,5.54,254933.0,Nation-State,Social Engineering,Ai-Based Detection,41.0
Uk,2023,Ddos,Government,55.28,339144.0,Unknown,Unpatched Software,Vpn,26.0
India,2022,Ransomware,Education,57.52,170002.0,Unknown,Unpatched Software,Ai-Based Detection,54.0
Japan,2019,Ddos,Government,74.65,491269.0,Nation-State,Zero-Day,Firewall,67.0
China,2019,Phishing,Banking,49.14,341100.0,Insider,Social Engineering,Firewall,37.0
India,2018,Ddos,Government,36.04,446170.0,Insider,Unpatched Software,Vpn,72.0
India,2015,Malware,Telecommunications,14.09,28398.0,Insider,Zero-Day,Antivirus,36.0
France,2017,Ransomware,Telecommunications,66.36,180698.0,Hacker Group,Zero-Day,Encryption,53.0
Germany,2017,Malware,Healthcare,8.53,676384.0,Unknown,Social Engineering,Vpn,44.0
Brazil,2015,Ransomware,Healthcare,61.91,961557.0,Insider,Unpatched Software,Firewall,64.0
Japan,2020,Phishing,Education,54.47,345334.0,Hacker Group,Weak Passwords,Antivirus,25.0
Russia,2024,Phishing,Education,87.88,263407.0,Nation-State,Zero-Day,Antivirus,8.0
Russia,2017,Phishing,It,89.22,791350.0,Nation-State,Social Engineering,Antivirus,32.0
China,2022,Ransomware,Telecommunications,64.92,591819.0,Unknown,Zero-Day,Antivirus,49.0
Uk,2016,Sql Injection,It,6.59,186612.0,Unknown,Unpatched Software,Antivirus,30.0
Japan,2018,Ransomware,Retail,48.0,187730.0,Nation-State,Weak Passwords,Ai-Based Detection,26.0
France,2022,Sql Injection,It,87.78,6456.0,Hacker Group,Social Engineering,Firewall,69.0
Japan,2020,Malware,Banking,15.73,505132.5,Hacker Group,Zero-Day,Firewall,56.0
Uk,2015,Phishing,It,30.26,256396.0,Hacker Group,Zero-Day,Encryption,29.0
Brazil,2021,Sql Injection,Healthcare,54.59,437634.0,Unknown,Weak Passwords,Ai-Based Detection,29.0
Russia,2015,Malware,Banking,63.09,80855.0,Nation-State,Zero-Day,Ai-Based Detection,53.0
India,2016,Phishing,Retail,59.36,967614.0,Nation-State,Unpatched Software,Ai-Based Detection,71.0
Japan,2020,Ransomware,It,79.52,934400.0,Unknown,Social Engineering,Vpn,4.0
Germany,2023,Man-In-The-Middle,Telecommunications,87.83,547719.0,Unknown,Weak Passwords,Ai-Based Detection,22.0
China,2016,Malware,Healthcare,96.63,808984.0,Unknown,Weak Passwords,Firewall,26.0
Japan,2023,Ransomware,Banking,52.86,261038.0,Nation-State,Social Engineering,Encryption,48.0
China,2024,Phishing,Education,4.01,841054.0,Insider,Zero-Day,Antivirus,49.0
China,2019,Ransomware,It,68.02,175038.0,Hacker Group,Weak Passwords,Vpn,67.0
Russia,2022,Phishing,Retail,67.17,774613.0,Hacker Group,Weak Passwords,Encryption,53.0
Japan,2021,Phishing,Healthcare,37.45,558357.0,Hacker Group,Weak Passwords,Vpn,49.0
India,2017,Phishing,Retail,36.78,620056.0,Nation-State,Weak Passwords,Firewall,14.0
Russia,2018,Malware,Healthcare,40.66,90640.0,Unknown,Zero-Day,Encryption,56.0
Russia,2022,Ransomware,Retail,76.93,449596.0,Unknown,Unpatched Software,Ai-Based Detection,3.0
Australia,2020,Ransomware,Healthcare,58.91,207842.0,Nation-State,Social Engineering,Antivirus,40.0
Germany,2017,Phishing,Retail,93.6,908249.0,Nation-State,Zero-Day,Ai-Based Detection,53.0
Japan,2017,Phishing,Healthcare,47.39,470895.0,Nation-State,Social Engineering,Encryption,63.0
France,2017,Malware,Education,3.21,342049.0,Nation-State,Unpatched Software,Ai-Based Detection,31.0
Brazil,2018,Phishing,Banking,98.75,316891.0,Hacker Group,Zero-Day,Antivirus,55.0
India,2019,Man-In-The-Middle,Education,27.45,633466.0,Unknown,Zero-Day,Ai-Based Detection,16.0
Usa,2023,Malware,Telecommunications,23.98,123866.0,Nation-State,Zero-Day,Firewall,43.0
France,2017,Ddos,Telecommunications,79.93,305905.0,Unknown,Unpatched Software,Encryption,44.0
Russia,2023,Sql Injection,Telecommunications,3.66,702942.0,Nation-State,Unpatched Software,Ai-Based Detection,34.0
